polarity,tweet,dates
0.0,RT sachinv1125 Plz PM Modi ji reschedule exam date of AAI ATC 25262021 its short notice before 14 days suffering tickets book,04-03-2021
0.475,What a great time and great job by you Sean always fun to talk hockey especially with TCS,04-03-2021
0.0,please continue wfh TCS,04-03-2021
0.5,While India Inc is jumping to cover vaccination cost for employees and kin wouldnt it make more sense to cover,04-03-2021
0.6000000000000001,tpbhatla passportsevamea TCS VMBJP SecySanjay DrSJaishankar Amazing Sir,04-03-2021
0.0,RT tpbhatla To have a stimulating environment at PSKs has always been an endeavour for passportsevamea amp TCS Two all women PSKs inaugu,04-03-2021
0.2,How much time it will take to update NQT score card in the dashboardNQT tcs TCS,04-03-2021
-0.5,TCS kritikasaxena1 Dear Music loversPlease without fail subscribe my YouTube channel by,04-03-2021
0.0,RT ArunMis37508434 EChitragupt Microsoft IBM SAP Adobe TCS AccentureTech Infosys GoogleIndia techmahindra iitbombay iitmadra,04-03-2021
0.0,RT ArunMis37508434 EChitragupt Microsoft IBM SAP Adobe TCS AccentureTech Infosys GoogleIndia techmahindra iitbombay iitmadra,04-03-2021
0.0,EChitragupt Microsoft IBM SAP Adobe TCS AccentureTech Infosys GoogleIndia techmahindra iitbombay,04-03-2021
0.45,Dear respected proud indians i dont have any source in TCS thats way i directly request youtatacomm kramanuj,04-03-2021
0.0,RT ArunMis37508434 EChitragupt Microsoft IBM SAP Adobe TCS AccentureTech Infosys GoogleIndia techmahindra iitbombay iitmadra,04-03-2021
0.0,EChitragupt Microsoft IBM SAP Adobe TCS AccentureTech Infosys GoogleIndia techmahindra iitbombay,04-03-2021
0.0,TCS Sir I have received a message regarding selection of TCS recruitment drive on 130320211900 PM But the r,04-03-2021
0.0,RT ArunMis37508434 EChitragupt Microsoft IBM SAP Adobe TCS AccentureTech Infosys GoogleIndia techmahindra iitbombay iitmadra,04-03-2021
0.0,EChitragupt Microsoft IBM SAP Adobe TCS AccentureTech Infosys GoogleIndia techmahindra iitbombay,04-03-2021
0.0,RT MRRSV NipunPatil anubha1812 kpmaurya1 myogiadityanath VarshaEGaikwad dineshsir CMOMaharashtra TCS Infosys anandmahindra,04-03-2021
-0.5,TCS kritikasaxena1 HI MUSIC LOVERPlease WITHOUT FAIL subscribe SHARE my YouTube channel,04-03-2021
0.0,RT ArunMis37508434 EChitragupt Microsoft IBM SAP Adobe TCS AccentureTech Infosys GoogleIndia techmahindra iitbombay iitmadra,04-03-2021
0.0,EChitragupt Microsoft IBM SAP Adobe TCS AccentureTech Infosys GoogleIndia techmahindra iitbombay,04-03-2021
0.0,RT ArunMis37508434 EChitragupt Microsoft IBM SAP Adobe TCS AccentureTech Infosys GoogleIndia techmahindra iitbombay iitmadra,04-03-2021
0.0,EChitragupt Microsoft IBM SAP Adobe TCS AccentureTech Infosys GoogleIndia techmahindra iitbombay,04-03-2021
0.0,abhipathak TCS but minimum marks for attending interview is 50 throughout how they rejected you if u have 50,04-03-2021
0.0,TCS the email I received on 2 March 2021 At that time I was asked to respond with my details on the same day via,04-03-2021
-0.1,RT sharathtweet TCS These are posters which were there in 1 of your TCSION test center in Mysuru U conduct lot of exams to check abil,04-03-2021
0.1,RT SDAPAC Career highlight hosted an epic livestream session with NHLFlyers legends BradMarshNHL and Bob Hound Kelly nonstop stor,04-03-2021
0.5,PeopleTCS TCS I applied for job in TCS many times but never get any update from TCS,04-03-2021
0.0,RT sachinv1125 Plz PM Modi ji reschedule exam date of AAI ATC 25262021 its short notice before 14 days suffering tickets book,04-03-2021
0.0,shaitanbalak TCS FinMinIndia nsitharaman Dear shaitanbalakThank you for sharing your details May we reque,04-03-2021
-0.11250000000000004,RT rajeevjassal Why dgshipgoi website cannot be maintained by major IT company like TCSPlatform is outdated only supports Internet,04-03-2021
0.0,RT sachinv1125 AAI internal departmental notice regarding exam dates leak out before official announcement clash with SSC JE Exam Bhar,04-03-2021
0.0,RT arehman22 sachinv1125 narendramodi PMOIndiaRC PMOIndia AAIOfficial RNTata2000 TCS thehindu htTweets ndtv timesofindia,04-03-2021
0.0,RT sachinv1125 Plz PM Modi ji reschedule exam date of AAI ATC 25262021 its short notice before 14 days suffering tickets book,04-03-2021
0.0,RT sachinv1125 Plz PM Modi ji reschedule exam date of AAI ATC 25262021 its short notice before 14 days suffering tickets book,04-03-2021
0.0,RT sachinv1125 Plz PM Modi ji reschedule exam date of AAI ATC 25262021 its short notice before 14 days suffering tickets book,04-03-2021
0.225,RT Trasolutions Enjoy the most affordable rides in Mumbai Sedan starting 15km amp SUV starting 18km RideBefikar with travelling,04-03-2021
0.0,RT sachinv1125 Plz PM Modi ji reschedule exam date of AAI ATC 25262021 its short notice before 14 days suffering tickets book,04-03-2021
0.0,RT sachinv1125 Plz PM Modi ji reschedule exam date of AAI ATC 25262021 its short notice before 14 days suffering tickets book,04-03-2021
0.0,RT sachinv1125 Plz PM Modi ji reschedule exam date of AAI ATC 25262021 its short notice before 14 days suffering tickets book,04-03-2021
-0.1,RT sachinv1125 Plz PM Modi ji humble request to u reschedule exam date of AAI ATC 25262021 its short notice before 14 days s,04-03-2021
0.0,RT sachinv1125 Plz PM Modi ji reschedule exam date of AAI ATC 25262021 its short notice before 14 days suffering tickets book,04-03-2021
0.0,RT sachinv1125 Plz PM Modi ji reschedule exam date of AAI ATC 25262021 its short notice before 14 days suffering tickets book,04-03-2021
0.225,RT Trasolutions Enjoy the most affordable rides in Mumbai Sedan starting 15km amp SUV starting 18km RideBefikar with travelling,04-03-2021
0.225,Enjoy the most affordable rides in Mumbai Sedan starting 15km amp SUV starting 18km RideBefikar with,04-03-2021
0.1,Career highlight hosted an epic livestream session with NHLFlyers legends BradMarshNHL and Bob Hound Kelly n,04-03-2021
0.0,The MicroFocusUniverse APJ agenda has 5 different track sessions from which you can choose Build your agenda now,04-03-2021
0.1,ICYMI TCS made 14 job offers while Olacabs handed out six offers in Cluster 3 placements of IIMAhmedabad,04-03-2021
0.0,RT TCSResearch Congratulations to this years Winner and Honorable Mention recipient for the Indiaacm ACM India Doctoral Dissertation Aw,04-03-2021
0.0,tcsnoticias TCS TCS please help me,04-03-2021
0.0,RT arehman22 sachinv1125 narendramodi PMOIndiaRC PMOIndia AAIOfficial RNTata2000 TCS thehindu htTweets ndtv timesofindia,04-03-2021
0.0,RT sachinv1125 Plz PM Modi ji reschedule exam date of AAI ATC 25262021 its short notice before 14 days suffering tickets book,04-03-2021
-0.1,Audio Clip Of Alleged ExitInterview Posted By TCS Employee TCS TataCompanies,04-03-2021
0.0,NipunPatil anubha1812 kpmaurya1 myogiadityanath VarshaEGaikwad dineshsir CMOMaharashtra TCS Infosys,04-03-2021
-0.5,RT HemantR91929333 Dont miss how leaders handle difficult situations with compassion TCS TCSEurope RNTata2000 TexMinIndia EduMinOf,04-03-2021
0.0,Hit and run in Tempo Traveller by drunken driver taking TCS employees in Whitefield vehicle no KA05 AH 0848 TCS,04-03-2021
0.0,RT sachinv1125 Plz PM Modi ji reschedule exam date of AAI ATC 25262021 its short notice before 14 days suffering tickets book,04-03-2021
0.0,RT sachinv1125 Plz PM Modi ji reschedule exam date of AAI ATC 25262021 its short notice before 14 days suffering tickets book,04-03-2021
0.0,RT sachinv1125 Plz PM Modi ji reschedule exam date of AAI ATC 25262021 its short notice before 14 days suffering tickets book,04-03-2021
0.0,RT iiests Congratulations on research endeavour Microstructure and property analysis dual phase steelEduMinOfIndia PIBHRD TCS Ste,04-03-2021
